Дата;Значение
01.05.2014;0
02.05.2014;10
03.05.2014;0
04.05.2014;0
05.05.2014;0
06.05.2014;0
07.05.2014;0
08.05.2014;0
09.05.2014;0
10.05.2014;0
11.05.2014;0
12.05.2014;0
13.05.2014;0
14.05.2014;0
15.05.2014;8
16.05.2014;0
17.05.2014;7
18.05.2014;7
19.05.2014;7
20.05.2014;7
21.05.2014;4
22.05.2014;3
23.05.2014;3
24.05.2014;6
25.05.2014;7
26.05.2014;7
27.05.2014;0
28.05.2014;8
29.05.2014;0
30.05.2014;0
31.05.2014;0
01.06.2014;0
02.06.2014;5
03.06.2014;5
04.06.2014;0
05.06.2014;6
06.06.2014;5
07.06.2014;7
08.06.2014;7
09.06.2014;7
10.06.2014;5
11.06.2014;7
12.06.2014;0
13.06.2014;5
14.06.2014;7
15.06.2014;5
16.06.2014;5
17.06.2014;0
18.06.2014;0
19.06.2014;5
20.06.2014;0
21.06.2014;5
22.06.2014;0
23.06.2014;8
24.06.2014;0
25.06.2014;0
26.06.2014;6
27.06.2014;6
28.06.2014;0
29.06.2014;10
30.06.2014;0
01.07.2014;0
02.07.2014;0
03.07.2014;0
04.07.2014;5
05.07.2014;5
06.07.2014;7
07.07.2014;8
08.07.2014;0
09.07.2014;0
10.07.2014;5
11.07.2014;0
12.07.2014;7
13.07.2014;5
14.07.2014;0
15.07.2014;0
16.07.2014;0
17.07.2014;0
18.07.2014;0
19.07.2014;0
20.07.2014;0
21.07.2014;0
22.07.2014;0
23.07.2014;0
24.07.2014;7
25.07.2014;0
26.07.2014;0
27.07.2014;0
28.07.2014;8
29.07.2014;0
30.07.2014;0
31.07.2014;0
01.08.2014;2
02.08.2014;7
03.08.2014;9
04.08.2014;1
05.08.2014;0
06.08.2014;2
07.08.2014;5
08.08.2014;7
09.08.2014;0
10.08.2014;5
11.08.2014;0
12.08.2014;7
13.08.2014;0
14.08.2014;1
15.08.2014;5
16.08.2014;5
17.08.2014;7
18.08.2014;0
19.08.2014;1
20.08.2014;2
21.08.2014;8
22.08.2014;5
23.08.2014;10
24.08.2014;0
25.08.2014;0
26.08.2014;1
27.08.2014;6
28.08.2014;6
29.08.2014;5
30.08.2014;5
31.08.2014;6
01.09.2014;1
02.09.2014;7
03.09.2014;9
04.09.2014;4
05.09.2014;3
06.09.2014;0
07.09.2014;0
08.09.2014;6
09.09.2014;6
10.09.2014;5
11.09.2014;5
12.09.2014;6
13.09.2014;1
14.09.2014;1
15.09.2014;6
16.09.2014;5
17.09.2014;5
18.09.2014;6
19.09.2014;5
20.09.2014;4
21.09.2014;9
22.09.2014;0
23.09.2014;5
24.09.2014;7
25.09.2014;5
26.09.2014;5
27.09.2014;7
28.09.2014;5
29.09.2014;1
30.09.2014;5
01.10.2014;0
02.10.2014;6
03.10.2014;6
04.10.2014;5
05.10.2014;0
06.10.2014;0
07.10.2014;7
08.10.2014;5
09.10.2014;0
10.10.2014;0
11.10.2014;9
12.10.2014;0
13.10.2014;0
14.10.2014;0
15.10.2014;0
16.10.2014;2
17.10.2014;6
18.10.2014;7
19.10.2014;10
20.10.2014;0
21.10.2014;0
22.10.2014;8
23.10.2014;0
24.10.2014;0
25.10.2014;1
26.10.2014;5
27.10.2014;5
28.10.2014;0
29.10.2014;0
30.10.2014;0
31.10.2014;0
01.11.2014;4
02.11.2014;6
03.11.2014;5
04.11.2014;1
05.11.2014;0
06.11.2014;3
07.11.2014;5
08.11.2014;10
09.11.2014;0
10.11.2014;0
11.11.2014;6
12.11.2014;5
13.11.2014;5
14.11.2014;6
15.11.2014;5
16.11.2014;1
17.11.2014;9
18.11.2014;0
19.11.2014;0
20.11.2014;1
21.11.2014;1
22.11.2014;2
23.11.2014;1
24.11.2014;5
25.11.2014;5
26.11.2014;5
27.11.2014;4
28.11.2014;3
29.11.2014;5
30.11.2014;1
01.12.2014;1
02.12.2014;8
03.12.2014;0
04.12.2014;5
05.12.2014;4
06.12.2014;1
07.12.2014;0
08.12.2014;0
09.12.2014;5
10.12.2014;1
11.12.2014;2
12.12.2014;5
13.12.2014;8
14.12.2014;0
15.12.2014;10
16.12.2014;0
17.12.2014;1
18.12.2014;1
19.12.2014;2
20.12.2014;5
21.12.2014;6
22.12.2014;7
23.12.2014;10
24.12.2014;0
25.12.2014;1
26.12.2014;3
27.12.2014;4
28.12.2014;6
29.12.2014;0
30.12.2014;8
31.12.2014;0
01.01.2015;2
02.01.2015;0
03.01.2015;3
04.01.2015;1
05.01.2015;4
06.01.2015;6
07.01.2015;9
08.01.2015;0
09.01.2015;0
10.01.2015;5
11.01.2015;5
12.01.2015;7
13.01.2015;0
14.01.2015;0
15.01.2015;0
16.01.2015;0
17.01.2015;0
18.01.2015;0
19.01.2015;0
20.01.2015;9
21.01.2015;1
22.01.2015;0
23.01.2015;0
24.01.2015;3
25.01.2015;3
26.01.2015;1
27.01.2015;0
28.01.2015;3
29.01.2015;10
30.01.2015;0
31.01.2015;0
01.02.2015;1
02.02.2015;2
03.02.2015;6
04.02.2015;7
05.02.2015;1
06.02.2015;7
07.02.2015;5
08.02.2015;3
09.02.2015;1
10.02.2015;2
11.02.2015;7
12.02.2015;0
13.02.2015;1
14.02.2015;4
15.02.2015;5
16.02.2015;5
17.02.2015;0
18.02.2015;1
19.02.2015;9
20.02.2015;5
21.02.2015;0
22.02.2015;2
23.02.2015;6
24.02.2015;5
25.02.2015;5
26.02.2015;2
27.02.2015;1
28.02.2015;5
01.03.2015;2
02.03.2015;2
03.03.2015;9
04.03.2015;1
05.03.2015;0
06.03.2015;1
07.03.2015;0
08.03.2015;5
09.03.2015;3
10.03.2015;8
11.03.2015;2
12.03.2015;2
13.03.2015;1
14.03.2015;2
15.03.2015;2
16.03.2015;4
17.03.2015;7
18.03.2015;3
19.03.2015;2
20.03.2015;1
21.03.2015;1
22.03.2015;5
23.03.2015;9
24.03.2015;1
25.03.2015;1
26.03.2015;0
27.03.2015;0
28.03.2015;1
29.03.2015;1
30.03.2015;5
31.03.2015;1
01.04.2015;5
02.04.2015;7
03.04.2015;5
04.04.2015;9
05.04.2015;0
06.04.2015;0
07.04.2015;1
08.04.2015;2
09.04.2015;5
10.04.2015;7
11.04.2015;4
12.04.2015;8
13.04.2015;4
14.04.2015;9
15.04.2015;1
16.04.2015;4
17.04.2015;1
18.04.2015;1
19.04.2015;5
20.04.2015;8
21.04.2015;3
22.04.2015;1
23.04.2015;9
24.04.2015;2
25.04.2015;2
26.04.2015;5
27.04.2015;3
28.04.2015;4
29.04.2015;2
30.04.2015;3
01.05.2015;0
02.05.2015;0
03.05.2015;1
04.05.2015;1
05.05.2015;2
06.05.2015;1
07.05.2015;0
08.05.2015;6
09.05.2015;5
10.05.2015;4
11.05.2015;4
12.05.2015;1
13.05.2015;6
14.05.2015;6
15.05.2015;10
16.05.2015;0
17.05.2015;0
18.05.2015;0
19.05.2015;1
20.05.2015;2
21.05.2015;2
22.05.2015;6
23.05.2015;1
24.05.2015;1
25.05.2015;1
26.05.2015;1
27.05.2015;1
28.05.2015;1
29.05.2015;1
30.05.2015;1
31.05.2015;5
01.06.2015;2
02.06.2015;1
03.06.2015;9
04.06.2015;2
05.06.2015;1
06.06.2015;2
07.06.2015;3
08.06.2015;1
09.06.2015;8
10.06.2015;1
11.06.2015;5
12.06.2015;3
13.06.2015;2
14.06.2015;3
15.06.2015;5
16.06.2015;1
17.06.2015;5
18.06.2015;3
19.06.2015;2
20.06.2015;8
21.06.2015;6
22.06.2015;0
23.06.2015;0
24.06.2015;1
25.06.2015;1
26.06.2015;9
27.06.2015;1
28.06.2015;1
29.06.2015;0
30.06.2015;9
01.07.2015;6
02.07.2015;1
03.07.2015;8
04.07.2015;2
05.07.2015;2
06.07.2015;5
07.07.2015;8
08.07.2015;1
09.07.2015;10
10.07.2015;0
11.07.2015;0
12.07.2015;1
13.07.2015;1
14.07.2015;5
15.07.2015;2
16.07.2015;5
17.07.2015;6
18.07.2015;5
19.07.2015;5
20.07.2015;4
21.07.2015;2
22.07.2015;2
23.07.2015;1
24.07.2015;1
25.07.2015;9
26.07.2015;1
27.07.2015;3
28.07.2015;4
29.07.2015;2
30.07.2015;1
31.07.2015;5
01.08.2015;2
02.08.2015;9
03.08.2015;1
04.08.2015;1
05.08.2015;9
06.08.2015;4
07.08.2015;4
08.08.2015;1
09.08.2015;2
10.08.2015;2
11.08.2015;9
12.08.2015;1
13.08.2015;1
14.08.2015;1
15.08.2015;2
16.08.2015;1
17.08.2015;5
18.08.2015;2
19.08.2015;2
20.08.2015;1
21.08.2015;1
22.08.2015;1
23.08.2015;1
24.08.2015;1
25.08.2015;7
26.08.2015;1
27.08.2015;5
28.08.2015;5
29.08.2015;6
30.08.2015;1
31.08.2015;3
01.09.2015;1
02.09.2015;7
03.09.2015;1
04.09.2015;1
05.09.2015;4
06.09.2015;1
07.09.2015;1
08.09.2015;9
09.09.2015;3
10.09.2015;1
11.09.2015;1
12.09.2015;1
13.09.2015;1
14.09.2015;8
15.09.2015;2
16.09.2015;9
17.09.2015;1
18.09.2015;5
19.09.2015;1
20.09.2015;1
21.09.2015;0
22.09.2015;1
23.09.2015;9
24.09.2015;1
25.09.2015;1
26.09.2015;1
27.09.2015;2
28.09.2015;2
29.09.2015;5
30.09.2015;1
01.10.2015;2
02.10.2015;3
03.10.2015;2
04.10.2015;2
05.10.2015;1
06.10.2015;3
07.10.2015;3
08.10.2015;5
09.10.2015;7
10.10.2015;4
11.10.2015;4
12.10.2015;9
13.10.2015;1
14.10.2015;1
15.10.2015;1
16.10.2015;2
17.10.2015;5
18.10.2015;3
19.10.2015;10
20.10.2015;1
21.10.2015;1
22.10.2015;1
23.10.2015;1
24.10.2015;1
25.10.2015;2
26.10.2015;1
27.10.2015;2
28.10.2015;1
29.10.2015;1
30.10.2015;2
31.10.2015;2
01.11.2015;7
02.11.2015;6
03.11.2015;1
04.11.2015;1
05.11.2015;9
06.11.2015;1
07.11.2015;1
08.11.2015;3
09.11.2015;1
10.11.2015;3
11.11.2015;2
12.11.2015;1
13.11.2015;1
14.11.2015;5
15.11.2015;1
16.11.2015;1
17.11.2015;1
18.11.2015;2
19.11.2015;1
20.11.2015;1
21.11.2015;1
22.11.2015;2
23.11.2015;1
24.11.2015;3
25.11.2015;3
26.11.2015;3
27.11.2015;1
28.11.2015;1
29.11.2015;1
30.11.2015;9
01.12.2015;1
02.12.2015;1
03.12.2015;1
04.12.2015;2
05.12.2015;3
06.12.2015;3
07.12.2015;3
08.12.2015;3
09.12.2015;1
10.12.2015;1
11.12.2015;1
12.12.2015;4
13.12.2015;1
14.12.2015;1
15.12.2015;9
16.12.2015;0
17.12.2015;0
18.12.2015;1
19.12.2015;1
20.12.2015;1
21.12.2015;2
22.12.2015;2
23.12.2015;0
24.12.2015;1
25.12.2015;4
26.12.2015;3
27.12.2015;2
28.12.2015;8
29.12.2015;1
30.12.2015;1
31.12.2015;1
01.01.2016;5
02.01.2016;1
03.01.2016;1
04.01.2016;1
05.01.2016;1
06.01.2016;1
07.01.2016;1
08.01.2016;2
09.01.2016;1
10.01.2016;2
11.01.2016;3
12.01.2016;2
13.01.2016;2
14.01.2016;3
15.01.2016;1
16.01.2016;2
17.01.2016;4
18.01.2016;9
19.01.2016;1
20.01.2016;1
21.01.2016;1
22.01.2016;1
23.01.2016;3
24.01.2016;3
25.01.2016;1
26.01.2016;0
27.01.2016;1
28.01.2016;1
29.01.2016;1
30.01.2016;2
31.01.2016;2
01.02.2016;1
02.02.2016;3
03.02.2016;5
04.02.2016;1
05.02.2016;3
06.02.2016;1
07.02.2016;3
08.02.2016;1
09.02.2016;9
10.02.2016;0
11.02.2016;3
12.02.2016;1
13.02.2016;3
14.02.2016;3
15.02.2016;3
16.02.2016;3
17.02.2016;3
18.02.2016;2
19.02.2016;1
20.02.2016;5
21.02.2016;8
22.02.2016;0
23.02.2016;1
24.02.2016;2
25.02.2016;5
26.02.2016;3
27.02.2016;1
28.02.2016;2
29.02.2016;1
01.03.2016;1
02.03.2016;1
03.03.2016;5
04.03.2016;2
05.03.2016;5
06.03.2016;2
07.03.2016;8
08.03.2016;1
09.03.2016;5
10.03.2016;1
11.03.2016;1
12.03.2016;1
13.03.2016;5
14.03.2016;3
15.03.2016;1
16.03.2016;1
17.03.2016;1
18.03.2016;1
19.03.2016;7
20.03.2016;3
21.03.2016;3
22.03.2016;1
23.03.2016;3
24.03.2016;2
25.03.2016;1
26.03.2016;2
27.03.2016;9
28.03.2016;2
29.03.2016;2
30.03.2016;2
31.03.2016;5
01.04.2016;2
02.04.2016;1
03.04.2016;1
04.04.2016;2
05.04.2016;3
06.04.2016;2
07.04.2016;1
08.04.2016;1
09.04.2016;2
10.04.2016;1
11.04.2016;3
12.04.2016;2
13.04.2016;5
14.04.2016;3
15.04.2016;1
16.04.2016;9
17.04.2016;1
18.04.2016;1
19.04.2016;3
20.04.2016;1
21.04.2016;5
22.04.2016;5
23.04.2016;3
24.04.2016;1
25.04.2016;2
26.04.2016;8
27.04.2016;1
28.04.2016;0
29.04.2016;1
30.04.2016;2
01.05.2016;1
02.05.2016;1
03.05.2016;5
04.05.2016;9
05.05.2016;1
06.05.2016;2
07.05.2016;2
08.05.2016;1
09.05.2016;3
10.05.2016;8
11.05.2016;1
12.05.2016;1
13.05.2016;1
14.05.2016;1
15.05.2016;4
16.05.2016;1
17.05.2016;5
18.05.2016;1
19.05.2016;8
20.05.2016;1
21.05.2016;1
22.05.2016;1
23.05.2016;5
24.05.2016;1
25.05.2016;9
26.05.2016;2
27.05.2016;1
28.05.2016;5
29.05.2016;1
30.05.2016;2
31.05.2016;1
01.06.2016;1
02.06.2016;2
03.06.2016;2
04.06.2016;1
05.06.2016;5
06.06.2016;1
07.06.2016;5
08.06.2016;1
09.06.2016;2
10.06.2016;1
11.06.2016;1
12.06.2016;1
13.06.2016;1
14.06.2016;9
15.06.2016;4
16.06.2016;1
17.06.2016;1
18.06.2016;9
19.06.2016;5
20.06.2016;3
21.06.2016;3
22.06.2016;1
23.06.2016;1
24.06.2016;6
25.06.2016;1
26.06.2016;1
27.06.2016;1
28.06.2016;1
29.06.2016;2
30.06.2016;1
01.07.2016;2
02.07.2016;8
03.07.2016;0
04.07.2016;1
05.07.2016;1
06.07.2016;4
07.07.2016;3
08.07.2016;1
09.07.2016;2
10.07.2016;5
11.07.2016;1
12.07.2016;5
13.07.2016;1
14.07.2016;1
15.07.2016;9
16.07.2016;7
17.07.2016;4
18.07.2016;2
19.07.2016;1
