iter	Logloss
0	0.6128601544
1	0.5910287656
2	0.5759186558
3	0.5703933316
4	0.5640770667
5	0.5595239628
6	0.5559065224
7	0.5527927192
8	0.5509813207
9	0.5491178703
10	0.5466665338
11	0.5451892507
12	0.5437791308
13	0.5423759305
14	0.5414295096
15	0.539944478
16	0.5383028858
17	0.5366426221
18	0.5341384277
19	0.533030802
20	0.5309377576
21	0.5295792502
22	0.5280778588
23	0.5257112937
24	0.5243971337
25	0.5225039943
26	0.5213044999
27	0.520047186
28	0.5179611941
29	0.5155625206
30	0.5132531258
31	0.5118925645
32	0.5101385388
33	0.5083148455
34	0.5065077825
35	0.5043555693
36	0.5026564179
37	0.5014383735
38	0.4998904267
39	0.4988633801
40	0.4982356124
41	0.4967109954
42	0.4956431699
43	0.4944637542
44	0.4932050552
45	0.4919447587
46	0.490620963
47	0.4899197005
48	0.4881541999
49	0.4867162208
