iter	Passed	Remaining
0	14	716
1	21	514
2	27	431
3	34	394
4	42	384
5	52	388
6	61	376
7	70	371
8	80	366
9	87	349
10	95	339
11	105	333
12	114	325
13	121	311
14	129	302
15	137	292
16	145	281
17	152	270
18	177	288
19	187	281
20	203	281
21	219	279
22	234	275
23	240	260
24	247	247
25	256	236
26	264	225
27	272	214
28	279	202
29	287	191
30	295	181
31	305	171
32	313	161
33	321	151
34	328	140
35	336	130
36	344	121
37	353	111
38	362	102
39	371	92
40	380	83
41	388	73
42	396	64
43	408	55
44	416	46
45	424	36
46	433	27
47	441	18
48	449	9
49	458	0
