Дата,Значение,year,month,dayofmonth,quarter,dayofyear,weekofyear,dayofweek,is_holiday,is_prev_holiday,is_next_holiday
2010-09-01,76.37,2010,9,1,3,244,35,2,0,0,0
2010-09-02,76.89,2010,9,2,3,245,35,3,0,0,0
2010-09-03,76.57,2010,9,3,3,246,35,4,0,0,0
2010-09-04,76.62,2010,9,4,3,247,35,5,0,0,0
2010-09-05,76.63,2010,9,5,3,248,35,6,0,1,0
2010-09-06,76.87,2010,9,6,3,249,36,0,1,0,0
2010-09-07,77.26,2010,9,7,3,250,36,1,0,0,1
2010-09-08,77.93,2010,9,8,3,251,36,2,0,0,0
2010-09-09,77.21,2010,9,9,3,252,36,3,0,0,0
2010-09-10,78.41,2010,9,10,3,253,36,4,0,0,0
2010-09-11,78.36,2010,9,11,3,254,36,5,0,0,0
2010-09-13,79.19,2010,9,13,3,256,37,0,0,0,0
2010-09-14,79.1,2010,9,14,3,257,37,1,0,0,0
2010-09-15,79.2,2010,9,15,3,258,37,2,0,0,0
2010-09-16,78.47,2010,9,16,3,259,37,3,0,0,0
2010-09-17,77.97,2010,9,17,3,260,37,4,0,0,0
2010-09-19,78.23,2010,9,19,3,262,37,6,0,0,0
2010-09-20,79.36,2010,9,20,3,263,38,0,0,0,0
2010-09-21,78.1,2010,9,21,3,264,38,1,0,0,0
2010-09-22,77.98,2010,9,22,3,265,38,2,0,0,0
2010-09-23,77.93,2010,9,23,3,266,38,3,0,0,0
2010-09-24,78.8,2010,9,24,3,267,38,4,0,0,0
2010-09-26,78.94,2010,9,26,3,269,38,6,0,0,0
2010-09-27,78.14,2010,9,27,3,270,39,0,0,0,0
2010-09-28,78.85,2010,9,28,3,271,39,1,0,0,0
2010-09-29,80.67,2010,9,29,3,272,39,2,0,0,0
2010-09-30,82.11,2010,9,30,3,273,39,3,0,0,0
2010-10-01,83.81,2010,10,1,4,274,39,4,0,0,0
2010-10-03,83.69,2010,10,3,4,276,39,6,0,0,0
2010-10-04,83.3,2010,10,4,4,277,40,0,0,0,0
2010-10-05,84.65,2010,10,5,4,278,40,1,0,0,0
2010-10-06,85.3,2010,10,6,4,279,40,2,0,0,0
2010-10-07,83.11,2010,10,7,4,280,40,3,0,0,0
2010-10-08,84.19,2010,10,8,4,281,40,4,0,0,0
2010-10-10,84.33,2010,10,10,4,283,40,6,0,1,0
2010-10-11,83.46,2010,10,11,4,284,41,0,1,0,0
2010-10-12,83.39,2010,10,12,4,285,41,1,0,0,1
2010-10-13,84.84,2010,10,13,4,286,41,2,0,0,0
2010-10-14,84.02,2010,10,14,4,287,41,3,0,0,0
2010-10-15,82.76,2010,10,15,4,288,41,4,0,0,0
2010-10-17,82.52,2010,10,17,4,290,41,6,0,0,0
2010-10-18,84.34,2010,10,18,4,291,42,0,0,0,0
2010-10-19,80.89,2010,10,19,4,292,42,1,0,0,0
2010-10-20,83.65,2010,10,20,4,293,42,2,0,0,0
2010-10-21,82.04,2010,10,21,4,294,42,3,0,0,0
2010-10-22,82.9,2010,10,22,4,295,42,4,0,0,0
2010-10-24,82.95,2010,10,24,4,297,42,6,0,0,0
2010-10-25,83.38,2010,10,25,4,298,43,0,0,0,0
2010-10-26,83.5,2010,10,26,4,299,43,1,0,0,0
2010-10-27,83.34,2010,10,27,4,300,43,2,0,0,0
2010-10-28,83.55,2010,10,28,4,301,43,3,0,0,0
2010-10-29,83.14,2010,10,29,4,302,43,4,0,0,0
2010-10-31,83.26,2010,10,31,4,304,43,6,0,0,0
2010-11-01,84.59,2010,11,1,4,305,44,0,0,0,0
2010-11-02,85.65,2010,11,2,4,306,44,1,0,0,0
2010-11-03,86.57,2010,11,3,4,307,44,2,0,0,0
2010-11-04,88.13,2010,11,4,4,308,44,3,0,0,0
2010-11-05,88.47,2010,11,5,4,309,44,4,0,0,0
2010-11-07,88.61,2010,11,7,4,311,44,6,0,0,0
2010-11-08,88.22,2010,11,8,4,312,45,0,0,0,0
2010-11-09,87.97,2010,11,9,4,313,45,1,0,0,0
2010-11-10,89.0,2010,11,10,4,314,45,2,0,1,0
2010-11-11,88.72,2010,11,11,4,315,45,3,1,0,0
2010-11-12,86.21,2010,11,12,4,316,45,4,0,0,1
2010-11-14,86.54,2010,11,14,4,318,45,6,0,0,0
2010-11-15,86.54,2010,11,15,4,319,46,0,0,0,0
2010-11-16,84.75,2010,11,16,4,320,46,1,0,0,0
2010-11-17,83.16,2010,11,17,4,321,46,2,0,0,0
2010-11-18,85.35,2010,11,18,4,322,46,3,0,0,0
2010-11-19,84.13,2010,11,19,4,323,46,4,0,0,0
2010-11-21,84.68,2010,11,21,4,325,46,6,0,0,0
2010-11-22,83.73,2010,11,22,4,326,47,0,0,0,0
2010-11-23,83.0,2010,11,23,4,327,47,1,0,0,0
2010-11-24,86.21,2010,11,24,4,328,47,2,0,1,0
2010-11-25,85.91,2010,11,25,4,329,47,3,1,0,0
2010-11-26,85.8,2010,11,26,4,330,47,4,0,0,1
2010-11-28,85.79,2010,11,28,4,332,47,6,0,0,0
2010-11-29,87.45,2010,11,29,4,333,48,0,0,0,0
2010-11-30,85.45,2010,11,30,4,334,48,1,0,0,0
2010-12-01,88.92,2010,12,1,4,335,48,2,0,0,0
2010-12-02,90.64,2010,12,2,4,336,48,3,0,0,0
2010-12-03,91.68,2010,12,3,4,337,48,4,0,0,0
2010-12-05,91.73,2010,12,5,4,339,48,6,0,0,0
2010-12-06,90.99,2010,12,6,4,340,49,0,0,0,0
2010-12-07,90.9,2010,12,7,4,341,49,1,0,0,0
2010-12-08,91.18,2010,12,8,4,342,49,2,0,0,0
2010-12-09,90.97,2010,12,9,4,343,49,3,0,0,0
2010-12-10,90.73,2010,12,10,4,344,49,4,0,0,0
2010-12-13,90.95,2010,12,13,4,347,50,0,0,0,0
2010-12-14,91.48,2010,12,14,4,348,50,1,0,0,0
2010-12-15,91.9,2010,12,15,4,349,50,2,0,0,0
2010-12-16,91.81,2010,12,16,4,350,50,3,0,0,0
2010-12-17,91.75,2010,12,17,4,351,50,4,0,0,0
2010-12-19,91.93,2010,12,19,4,353,50,6,0,0,0
2010-12-20,92.6,2010,12,20,4,354,51,0,0,0,0
2010-12-21,93.5,2010,12,21,4,355,51,1,0,0,0
2010-12-22,93.8,2010,12,22,4,356,51,2,0,0,0
2010-12-23,94.32,2010,12,23,4,357,51,3,0,1,0
2010-12-24,93.46,2010,12,24,4,358,51,4,1,0,0
2010-12-26,93.55,2010,12,26,4,360,51,6,0,0,0
2010-12-27,93.71,2010,12,27,4,361,52,0,0,0,0
2010-12-28,94.21,2010,12,28,4,362,52,1,0,0,0
2010-12-29,94.03,2010,12,29,4,363,52,2,0,0,0
2010-12-30,92.71,2010,12,30,4,364,52,3,0,1,0
2010-12-31,94.59,2010,12,31,4,365,52,4,1,0,0
2011-01-02,94.56,2011,1,2,1,2,52,6,0,0,0
2011-01-03,94.85,2011,1,3,1,3,1,0,0,0,0
2011-01-05,95.54,2011,1,5,1,5,1,2,0,0,0
2011-01-06,94.43,2011,1,6,1,6,1,3,0,0,0
2011-01-07,93.72,2011,1,7,1,7,1,4,0,0,0
2011-01-09,94.25,2011,1,9,1,9,1,6,0,0,0
2011-01-10,95.66,2011,1,10,1,10,2,0,0,0,0
2011-01-11,97.51,2011,1,11,1,11,2,1,0,0,0
2011-01-12,98.33,2011,1,12,1,12,2,2,0,0,0
2011-01-13,98.4,2011,1,13,1,13,2,3,0,0,0
2011-01-14,98.68,2011,1,14,1,14,2,4,0,0,0
2011-01-16,98.42,2011,1,16,1,16,2,6,0,1,0
2011-01-17,97.6,2011,1,17,1,17,3,0,1,0,0
2011-01-18,97.53,2011,1,18,1,18,3,1,0,0,1
2011-01-19,97.95,2011,1,19,1,19,3,2,0,0,0
2011-01-20,96.42,2011,1,20,1,20,3,3,0,0,0
2011-01-21,97.59,2011,1,21,1,21,3,4,0,0,0
2011-01-23,97.55,2011,1,23,1,23,3,6,0,0,0
2011-01-24,96.52,2011,1,24,1,24,4,0,0,0,0
2011-01-25,95.27,2011,1,25,1,25,4,1,0,0,0
2011-01-26,98.2,2011,1,26,1,26,4,2,0,0,0
2011-01-27,97.15,2011,1,27,1,27,4,3,0,0,0
2011-01-28,99.33,2011,1,28,1,28,4,4,0,0,0
2011-01-30,99.81,2011,1,30,1,30,4,6,0,0,0
2011-01-31,100.56,2011,1,31,1,31,5,0,0,0,0
2011-02-01,101.62,2011,2,1,1,32,5,1,0,0,0
2011-02-02,102.35,2011,2,2,1,33,5,2,0,0,0
2011-02-03,101.75,2011,2,3,1,34,5,3,0,0,0
2011-02-04,100.1,2011,2,4,1,35,5,4,0,0,0
2011-02-06,100.35,2011,2,6,1,37,5,6,0,0,0
2011-02-07,99.26,2011,2,7,1,38,6,0,0,0,0
2011-02-08,100.23,2011,2,8,1,39,6,1,0,0,0
2011-02-09,102.02,2011,2,9,1,40,6,2,0,0,0
2011-02-10,101.73,2011,2,10,1,41,6,3,0,0,0
2011-02-11,101.43,2011,2,11,1,42,6,4,0,0,0
2011-02-13,101.55,2011,2,13,1,44,6,6,0,0,0
2011-02-14,102.96,2011,2,14,1,45,7,0,0,0,0
2011-02-15,101.83,2011,2,15,1,46,7,1,0,0,0
2011-02-16,104.29,2011,2,16,1,47,7,2,0,0,0
2011-02-17,102.97,2011,2,17,1,48,7,3,0,0,0
2011-02-18,102.82,2011,2,18,1,49,7,4,0,0,0
2011-02-20,103.35,2011,2,20,1,51,7,6,0,1,0
2011-02-21,108.0,2011,2,21,1,52,8,0,1,0,0
2011-02-22,106.37,2011,2,22,1,53,8,1,0,0,1
2011-02-23,112.21,2011,2,23,1,54,8,2,0,0,0
2011-02-24,111.23,2011,2,24,1,55,8,3,0,0,0
2011-02-25,112.43,2011,2,25,1,56,8,4,0,0,0
2011-02-27,113.88,2011,2,27,1,58,8,6,0,0,0
2011-02-28,112.1,2011,2,28,1,59,9,0,0,0,0
2011-03-01,116.32,2011,3,1,1,60,9,1,0,0,0
2011-03-02,116.48,2011,3,2,1,61,9,2,0,0,0
2011-03-03,114.59,2011,3,3,1,62,9,3,0,0,0
2011-03-04,115.99,2011,3,4,1,63,9,4,0,0,0
2011-03-06,116.35,2011,3,6,1,65,9,6,0,0,0
2011-03-07,114.7,2011,3,7,1,66,10,0,0,0,0
2011-03-08,112.98,2011,3,8,1,67,10,1,0,0,0
2011-03-09,115.99,2011,3,9,1,68,10,2,0,0,0
2011-03-10,115.14,2011,3,10,1,69,10,3,0,0,0
2011-03-11,113.44,2011,3,11,1,70,10,4,0,0,0
2011-03-14,113.86,2011,3,14,1,73,11,0,0,0,0
2011-03-15,108.19,2011,3,15,1,74,11,1,0,0,0
2011-03-16,110.4,2011,3,16,1,75,11,2,0,0,0
2011-03-17,115.0,2011,3,17,1,76,11,3,0,0,0
2011-03-18,114.49,2011,3,18,1,77,11,4,0,0,0
2011-03-20,115.65,2011,3,20,1,79,11,6,0,0,0
2011-03-21,114.6,2011,3,21,1,80,12,0,0,0,0
2011-03-22,116.09,2011,3,22,1,81,12,1,0,0,0
2011-03-23,115.27,2011,3,23,1,82,12,2,0,0,0
2011-03-24,115.75,2011,3,24,1,83,12,3,0,0,0
2011-03-25,116.02,2011,3,25,1,84,12,4,0,0,0
2011-03-27,115.66,2011,3,27,1,86,12,6,0,0,0
2011-03-28,114.76,2011,3,28,1,87,13,0,0,0,0
2011-03-29,115.09,2011,3,29,1,88,13,1,0,0,0
2011-03-30,115.12,2011,3,30,1,89,13,2,0,0,0
2011-03-31,117.17,2011,3,31,1,90,13,3,0,0,0
2011-04-01,119.1,2011,4,1,2,91,13,4,0,0,0
2011-04-04,120.86,2011,4,4,2,94,14,0,0,0,0
2011-04-05,121.6,2011,4,5,2,95,14,1,0,0,0
2011-04-06,122.1,2011,4,6,2,96,14,2,0,0,0
2011-04-07,122.56,2011,4,7,2,97,14,3,0,0,0
2011-04-08,126.9,2011,4,8,2,98,14,4,0,0,0
2011-04-10,126.28,2011,4,10,2,100,14,6,0,0,0
2011-04-11,122.66,2011,4,11,2,101,15,0,0,0,0
2011-04-12,120.7,2011,4,12,2,102,15,1,0,0,0
2011-04-13,122.62,2011,4,13,2,103,15,2,0,0,0
2011-04-14,122.2,2011,4,14,2,104,15,3,0,0,0
2011-04-15,123.73,2011,4,15,2,105,15,4,0,0,0
2011-04-17,123.51,2011,4,17,2,107,15,6,0,0,0
2011-04-18,121.93,2011,4,18,2,108,16,0,0,0,0
2011-04-19,121.29,2011,4,19,2,109,16,1,0,0,0
2011-04-20,123.9,2011,4,20,2,110,16,2,0,0,0
2011-04-21,124.04,2011,4,21,2,111,16,3,0,0,0
2011-04-24,124.23,2011,4,24,2,114,16,6,0,0,0
2011-04-25,123.55,2011,4,25,2,115,17,0,0,0,0
2011-04-26,123.7,2011,4,26,2,116,17,1,0,0,0
2011-04-27,125.47,2011,4,27,2,117,17,2,0,0,0
2011-04-28,124.59,2011,4,28,2,118,17,3,0,0,0
2011-04-29,126.03,2011,4,29,2,119,17,4,0,0,0
2011-05-01,125.39,2011,5,1,2,121,17,6,0,0,0
2011-05-02,124.58,2011,5,2,2,122,18,0,0,0,0
2011-05-03,122.15,2011,5,3,2,123,18,1,0,0,0
2011-05-04,120.64,2011,5,4,2,124,18,2,0,0,0
2011-05-05,110.74,2011,5,5,2,125,18,3,0,0,0
2011-05-06,109.24,2011,5,6,2,126,18,4,0,0,0
2011-05-08,109.65,2011,5,8,2,128,18,6,0,0,0
2011-05-09,115.52,2011,5,9,2,129,19,0,0,0,0
2011-05-10,117.24,2011,5,10,2,130,19,1,0,0,0
2011-05-11,112.3,2011,5,11,2,131,19,2,0,0,0
2011-05-12,112.32,2011,5,12,2,132,19,3,0,0,0
2011-05-13,113.26,2011,5,13,2,133,19,4,0,0,0
2011-05-15,112.57,2011,5,15,2,135,19,6,0,0,0
2011-05-16,110.37,2011,5,16,2,136,20,0,0,0,0
2011-05-17,110.58,2011,5,17,2,137,20,1,0,0,0
2011-05-18,112.3,2011,5,18,2,138,20,2,0,0,0
2011-05-19,111.4,2011,5,19,2,139,20,3,0,0,0
2011-05-20,112.42,2011,5,20,2,140,20,4,0,0,0
2011-05-22,111.9,2011,5,22,2,142,20,6,0,0,0
2011-05-23,109.9,2011,5,23,2,143,21,0,0,0,0
2011-05-24,112.3,2011,5,24,2,144,21,1,0,0,0
2011-05-25,115.0,2011,5,25,2,145,21,2,0,0,0
2011-05-26,114.99,2011,5,26,2,146,21,3,0,0,0
2011-05-27,115.0,2011,5,27,2,147,21,4,0,0,0
2011-05-30,114.54,2011,5,30,2,150,22,0,1,0,0
2011-05-31,116.68,2011,5,31,2,151,22,1,0,0,1
2011-06-01,114.03,2011,6,1,2,152,22,2,0,0,0
2011-06-02,115.89,2011,6,2,2,153,22,3,0,0,0
2011-06-03,116.05,2011,6,3,2,154,22,4,0,0,0
2011-06-05,116.1,2011,6,5,2,156,22,6,0,0,0
2011-06-06,114.19,2011,6,6,2,157,23,0,0,0,0
2011-06-07,117.0,2011,6,7,2,158,23,1,0,0,0
2011-06-08,117.61,2011,6,8,2,159,23,2,0,0,0
2011-06-09,119.1,2011,6,9,2,160,23,3,0,0,0
2011-06-10,117.97,2011,6,10,2,161,23,4,0,0,0
2011-06-12,117.92,2011,6,12,2,163,23,6,0,0,0
2011-06-13,118.08,2011,6,13,2,164,24,0,0,0,0
2011-06-14,119.11,2011,6,14,2,165,24,1,0,0,0
2011-06-15,113.66,2011,6,15,2,166,24,2,0,0,0
2011-06-16,114.02,2011,6,16,2,167,24,3,0,0,0
2011-06-17,113.2,2011,6,17,2,168,24,4,0,0,0
2011-06-19,113.06,2011,6,19,2,170,24,6,0,0,0
2011-06-20,111.58,2011,6,20,2,171,25,0,0,0,0
2011-06-21,110.7,2011,6,21,2,172,25,1,0,0,0
2011-06-22,113.25,2011,6,22,2,173,25,2,0,0,0
2011-06-23,108.61,2011,6,23,2,174,25,3,0,0,0
2011-06-24,105.67,2011,6,24,2,175,25,4,0,0,0
2011-06-26,105.05,2011,6,26,2,177,25,6,0,0,0
2011-06-27,106.67,2011,6,27,2,178,26,0,0,0,0
2011-06-28,108.87,2011,6,28,2,179,26,1,0,0,0
2011-06-29,112.6,2011,6,29,2,180,26,2,0,0,0
2011-06-30,111.8,2011,6,30,2,181,26,3,0,0,0
2011-07-01,111.24,2011,7,1,3,182,26,4,0,0,0
2011-07-03,111.89,2011,7,3,3,184,26,6,0,1,0
2011-07-04,111.45,2011,7,4,3,185,27,0,1,0,0
2011-07-05,113.83,2011,7,5,3,186,27,1,0,0,1
2011-07-06,114.3,2011,7,6,3,187,27,2,0,0,0
2011-07-07,118.3,2011,7,7,3,188,27,3,0,0,0
2011-07-08,118.3,2011,7,8,3,189,27,4,0,0,0
2011-07-10,117.25,2011,7,10,3,191,27,6,0,0,0
2011-07-11,116.37,2011,7,11,3,192,28,0,0,0,0
2011-07-12,116.07,2011,7,12,3,193,28,1,0,0,0
2011-07-13,117.55,2011,7,13,3,194,28,2,0,0,0
2011-07-14,116.6,2011,7,14,3,195,28,3,0,0,0
2011-07-15,117.66,2011,7,15,3,196,28,4,0,0,0
2011-07-17,117.64,2011,7,17,3,198,28,6,0,0,0
2011-07-18,116.4,2011,7,18,3,199,29,0,0,0,0
2011-07-19,117.37,2011,7,19,3,200,29,1,0,0,0
2011-07-20,118.15,2011,7,20,3,201,29,2,0,0,0
2011-07-21,117.78,2011,7,21,3,202,29,3,0,0,0
2011-07-22,118.51,2011,7,22,3,203,29,4,0,0,0
2011-07-24,118.12,2011,7,24,3,205,29,6,0,0,0
2011-07-25,117.63,2011,7,25,3,206,30,0,0,0,0
2011-07-26,118.0,2011,7,26,3,207,30,1,0,0,0
2011-07-27,117.32,2011,7,27,3,208,30,2,0,0,0
2011-07-28,117.21,2011,7,28,3,209,30,3,0,0,0
2011-07-29,116.85,2011,7,29,3,210,30,4,0,0,0
2011-07-31,117.54,2011,7,31,3,212,30,6,0,0,0
2011-08-01,116.74,2011,8,1,3,213,31,0,0,0,0
2011-08-02,115.94,2011,8,2,3,214,31,1,0,0,0
2011-08-03,113.44,2011,8,3,3,215,31,2,0,0,0
2011-08-04,107.66,2011,8,4,3,216,31,3,0,0,0
2011-08-05,109.85,2011,8,5,3,217,31,4,0,0,0
2011-08-07,106.74,2011,8,7,3,219,31,6,0,0,0
2011-08-08,103.78,2011,8,8,3,220,32,0,0,0,0
2011-08-09,104.45,2011,8,9,3,221,32,1,0,0,0
2011-08-10,105.67,2011,8,10,3,222,32,2,0,0,0
2011-08-11,107.85,2011,8,11,3,223,32,3,0,0,0
2011-08-12,107.52,2011,8,12,3,224,32,4,0,0,0
2011-08-14,107.74,2011,8,14,3,226,32,6,0,0,0
2011-08-15,109.78,2011,8,15,3,227,33,0,0,0,0
2011-08-16,109.56,2011,8,16,3,228,33,1,0,0,0
2011-08-17,110.57,2011,8,17,3,229,33,2,0,0,0
2011-08-18,106.69,2011,8,18,3,230,33,3,0,0,0
2011-08-19,109.22,2011,8,19,3,231,33,4,0,0,0
2011-08-21,107.24,2011,8,21,3,233,33,6,0,0,0
2011-08-22,108.5,2011,8,22,3,234,34,0,0,0,0
2011-08-23,109.78,2011,8,23,3,235,34,1,0,0,0
